car_age,mileage,engine_size,owners,fuel_type,transmission,accident_history,city_tier,price
12,147184,2.2,0,petrol,manual,yes,tier1,2779.46
5,57179,1.2,0,petrol,automatic,yes,tier2,15101.28
11,135666,1.9,2,diesel,manual,yes,tier2,3428.63
5,63793,2.2,1,diesel,manual,no,tier1,19633.44
6,83474,1.7,1,hybrid,automatic,no,tier1,22904.57
14,186364,1.4,1,petrol,automatic,yes,tier2,1200.0
4,56512,1.7,3,hybrid,manual,no,tier2,19713.06
8,91756,2.0,1,electric,manual,no,tier1,20549.67
3,43613,2.4,0,diesel,manual,no,tier1,28946.69
11,137630,1.8,0,electric,manual,no,tier1,13217.37
11,135640,2.1,2,hybrid,manual,no,tier1,11914.9
3,42183,1.5,3,electric,manual,no,tier1,24902.42
10,115638,2.7,2,electric,automatic,yes,tier2,12557.5
9,111788,2.8,2,petrol,automatic,yes,tier3,10133.97
2,31636,0.9,0,hybrid,automatic,no,tier2,24280.8
15,203384,2.0,1,petrol,manual,no,tier1,1200.0
13,163934,2.4,0,petrol,manual,no,tier1,8114.61
9,139511,1.4,1,hybrid,automatic,no,tier1,14554.62
1,24348,1.3,0,petrol,manual,yes,tier3,20525.72
4,59249,1.9,3,hybrid,manual,no,tier2,22288.58
9,123233,2.9,1,petrol,automatic,no,tier2,15733.15
1,26218,1.5,0,diesel,automatic,yes,tier2,20920.14
4,47313,1.6,2,diesel,automatic,no,tier3,22258.76
5,66659,1.0,0,hybrid,manual,no,tier2,20386.63
13,164467,1.6,2,electric,manual,no,tier2,4574.83
13,171059,2.1,1,petrol,manual,no,tier1,6996.37
5,56097,2.0,1,petrol,automatic,no,tier2,20547.15
15,180288,1.8,2,diesel,manual,yes,tier2,1200.0
1,25393,2.0,0,petrol,automatic,no,tier1,30821.97
4,66214,2.2,0,petrol,automatic,no,tier2,21223.68
15,190374,2.0,1,petrol,manual,no,tier2,2097.2
13,172941,2.2,0,petrol,automatic,no,tier3,4526.12
8,107306,2.3,3,hybrid,manual,no,tier2,14370.16
2,38520,1.6,1,electric,manual,no,tier1,29168.58
10,128157,1.9,1,diesel,automatic,no,tier3,10923.84
15,197294,1.1,0,electric,automatic,no,tier1,4925.49
4,61582,2.1,1,hybrid,manual,no,tier3,21428.11
7,101894,2.3,1,hybrid,manual,no,tier1,19302.01
14,173603,1.6,1,hybrid,automatic,yes,tier2,1200.0
14,174391,1.8,1,petrol,automatic,no,tier1,4276.57
7,91104,1.6,0,petrol,manual,no,tier1,18806.03
3,40104,2.0,1,diesel,automatic,no,tier3,23736.43
2,31497,2.0,1,hybrid,automatic,no,tier2,28723.19
4,56009,1.6,0,petrol,automatic,yes,tier2,14527.17
8,100892,2.2,0,petrol,manual,yes,tier3,7598.54
6,92886,1.6,2,diesel,manual,no,tier1,17658.81
0,26557,,0,hybrid,manual,yes,tier1,24222.6
5,65189,2.0,1,diesel,manual,no,tier3,18736.18
7,102626,1.7,0,petrol,automatic,no,tier3,13699.13
10,131655,2.6,1,hybrid,automatic,no,tier2,15476.9
9,118937,1.8,1,diesel,manual,no,tier1,12923.4
5,68636,2.3,1,diesel,manual,no,tier2,20091.8
12,148401,2.2,0,petrol,automatic,no,tier1,5388.53
10,127411,3.1,0,hybrid,automatic,no,tier1,16429.69
9,117255,2.4,0,electric,manual,no,tier1,18829.6
4,41149,1.9,0,petrol,manual,no,tier2,21841.44
12,161740,1.8,0,petrol,manual,no,tier1,7355.22
12,148313,1.9,1,petrol,automatic,no,tier1,9236.54
4,57207,1.0,0,petrol,manual,no,tier2,20054.8
5,62316,1.3,1,petrol,manual,no,tier1,20792.29
10,130422,1.5,1,petrol,manual,no,tier1,9203.46
12,156621,0.9,2,petrol,manual,no,tier1,3957.78
12,155712,1.5,0,petrol,manual,yes,tier3,2050.55
7,95527,2.9,2,petrol,automatic,no,tier1,16691.33
12,156085,2.3,1,diesel,manual,no,tier3,8198.38
9,131720,2.4,1,petrol,automatic,yes,tier2,6890.54
1,19910,0.9,0,petrol,automatic,no,tier1,30802.2
7,108119,1.5,1,petrol,automatic,no,tier1,16734.05
2,36436,2.4,1,diesel,automatic,no,tier2,27839.7
1,23092,1.5,0,electric,automatic,no,tier2,30820.63
4,52684,1.9,1,petrol,automatic,no,tier1,24786.89
13,158400,1.8,1,diesel,automatic,no,tier1,8230.0
10,119503,2.2,0,petrol,automatic,no,tier1,14966.18
10,138965,1.6,1,petrol,automatic,no,tier1,8846.53
15,184673,1.6,0,hybrid,automatic,no,tier3,1736.81
3,29949,1.3,0,petrol,automatic,no,tier2,26801.9
9,122155,2.0,2,petrol,automatic,no,tier2,12528.27
8,121620,2.1,0,petrol,manual,yes,tier2,10154.31
8,95996,1.5,1,diesel,manual,no,tier3,12782.61
0,7004,2.0,2,electric,automatic,yes,tier2,26872.59
4,54996,0.9,1,hybrid,manual,no,tier1,21077.03
10,112119,0.9,0,petrol,manual,no,tier1,11198.55
13,166169,1.1,1,diesel,manual,no,tier1,6266.1
0,21642,,0,petrol,manual,yes,tier2,22485.65
8,90915,1.8,0,hybrid,manual,no,tier3,15018.57
2,28105,1.5,1,diesel,manual,no,tier1,25257.09
1,30152,2.1,0,electric,automatic,no,tier2,31398.59
8,122447,1.2,2,diesel,automatic,no,tier3,11471.38
13,166882,1.7,0,diesel,automatic,no,tier2,5074.53
0,9242,1.2,0,hybrid,automatic,no,tier1,32704.81
15,190364,2.0,1,petrol,automatic,no,tier1,1200.0
0,18838,3.3,2,petrol,manual,no,tier3,31715.83
7,107594,1.9,0,hybrid,manual,no,tier1,18322.57
2,36122,0.9,3,hybrid,manual,yes,tier1,20837.19
14,173267,2.0,4,diesel,automatic,no,tier1,6746.89
1,32839,2.3,0,petrol,manual,yes,tier1,24988.69
5,54394,1.8,0,hybrid,automatic,yes,tier2,19066.78
6,87505,3.5,3,diesel,manual,yes,tier1,16606.49
13,164811,2.2,1,hybrid,manual,no,tier1,8527.72
15,190919,2.1,0,petrol,automatic,no,tier2,4306.93
5,65036,2.3,1,petrol,manual,no,tier3,21057.29
1,35295,2.0,1,diesel,manual,no,tier2,26038.58
11,145813,0.9,0,petrol,manual,no,tier2,6848.37
9,128027,2.0,1,petrol,manual,no,tier3,11969.62
8,119421,1.9,0,petrol,automatic,yes,tier3,5806.14
0,1117,1.9,0,petrol,manual,yes,tier1,27651.14
2,42692,1.0,0,electric,automatic,no,tier3,25798.99
10,129076,2.8,0,electric,automatic,yes,tier2,11183.37
5,73125,2.5,1,diesel,automatic,no,tier2,20289.91
9,103933,1.6,1,petrol,manual,no,tier3,11354.39
10,98530,1.9,1,diesel,manual,yes,tier1,7780.03
9,115570,1.9,2,petrol,automatic,no,tier1,14988.96
12,153477,2.2,0,petrol,automatic,no,tier3,6207.03
15,188501,1.8,0,electric,automatic,no,tier1,7446.92
12,149254,1.7,1,petrol,automatic,no,tier1,8395.1
1,33798,1.8,3,petrol,automatic,yes,tier3,20250.29
14,162215,3.2,1,petrol,automatic,no,tier2,4318.78
1,26882,2.0,0,diesel,manual,no,tier2,28502.26
10,131957,3.2,2,diesel,manual,no,tier1,13670.02
0,500,1.8,1,electric,manual,no,tier3,30205.7
4,57757,1.4,0,hybrid,automatic,no,tier2,23060.45
5,70151,2.6,3,diesel,manual,yes,tier1,17134.86
11,123861,1.9,3,electric,automatic,no,tier3,8964.86
4,43554,0.9,0,petrol,manual,no,tier2,20327.77
0,500,0.9,0,petrol,manual,no,tier3,27314.94
13,169787,2.4,0,petrol,automatic,no,tier1,10207.03
13,170534,1.4,1,hybrid,manual,no,tier1,5471.07
2,31550,1.3,0,diesel,manual,no,tier1,25514.17
0,9133,2.5,1,diesel,manual,no,tier3,28640.02
5,78429,2.0,0,diesel,manual,no,tier1,20800.96
5,78939,1.2,2,petrol,automatic,no,tier1,20569.21
3,45578,1.3,0,diesel,automatic,no,tier1,26576.51
13,157511,2.3,2,petrol,manual,yes,tier2,1200.0
3,30168,2.6,0,hybrid,manual,no,tier1,30419.62
7,102056,0.9,0,petrol,manual,no,tier2,13004.27
6,62105,1.5,1,petrol,automatic,no,tier3,16604.21
9,117333,0.9,0,diesel,automatic,no,tier3,12447.9
7,95491,2.0,0,diesel,automatic,yes,tier1,13037.35
2,43905,1.6,1,petrol,automatic,no,tier2,23747.96
0,27390,1.5,2,petrol,automatic,no,tier1,28307.31
3,38082,1.9,0,diesel,manual,no,tier3,25295.53
1,5868,3.0,1,electric,manual,no,tier2,32303.51
11,147478,3.0,1,diesel,manual,yes,tier1,10720.82
2,30316,1.2,0,petrol,manual,no,tier1,29190.97
3,39266,1.9,0,petrol,manual,yes,tier1,22696.76
12,147766,0.9,4,diesel,automatic,no,tier2,3886.26
15,186865,1.8,0,diesel,automatic,no,tier2,2418.94
3,40304,1.8,0,petrol,automatic,no,tier3,21589.65
5,71368,2.0,0,petrol,automatic,yes,tier3,15702.38
1,10597,1.5,1,electric,manual,no,tier2,30666.43
11,128184,1.2,1,petrol,automatic,no,tier2,7779.87
11,138883,2.2,2,electric,manual,no,tier1,14839.42
5,64361,1.6,1,electric,manual,no,tier2,23601.81
2,49114,1.6,1,petrol,manual,no,tier2,24521.83
4,58488,1.3,0,hybrid,manual,no,tier2,22543.58
0,5343,1.8,1,petrol,manual,no,tier2,29988.89
13,149840,1.3,1,petrol,automatic,no,tier2,4371.18
7,92379,2.1,1,petrol,automatic,yes,tier2,13280.31
8,111744,1.4,0,petrol,manual,no,tier2,12576.87
12,155571,1.9,0,petrol,automatic,no,tier2,6651.55
14,183757,2.4,0,diesel,manual,no,tier2,4292.28
10,140386,3.5,0,electric,automatic,no,tier2,17994.95
5,66281,1.2,1,electric,manual,no,tier1,24649.04
13,176046,0.9,1,petrol,manual,no,tier3,1200.0
2,38360,1.1,0,diesel,automatic,yes,tier3,19047.26
8,102251,2.0,2,diesel,manual,no,tier3,12955.93
6,81045,1.5,2,petrol,manual,yes,tier1,10687.06
10,119748,1.7,0,diesel,automatic,no,tier3,9649.33
7,106509,0.9,1,diesel,automatic,no,tier3,10927.93
1,9599,1.9,0,diesel,automatic,no,tier1,26701.9
5,66911,2.0,2,petrol,automatic,no,tier2,20536.62
9,125615,2.0,0,petrol,automatic,no,tier3,12283.47
1,19243,1.3,2,diesel,manual,no,tier1,24813.79
8,100725,1.9,1,diesel,automatic,no,tier1,16600.32
9,117933,1.9,1,hybrid,manual,no,tier1,14171.94
12,143373,,2,hybrid,manual,yes,tier2,1200.0
14,177472,1.5,1,petrol,automatic,no,tier2,1577.95
14,171525,1.6,0,diesel,manual,no,tier3,1200.0
0,12948,1.0,1,petrol,manual,no,tier1,26098.45
9,112958,1.7,1,diesel,manual,no,tier1,11357.68
3,41192,2.0,1,diesel,manual,no,tier3,24588.3
15,184848,2.2,0,diesel,manual,yes,tier1,1200.0
7,90799,1.8,0,diesel,automatic,no,tier2,18057.54
14,174306,1.5,1,hybrid,manual,no,tier2,2313.54
0,5830,1.8,1,petrol,manual,no,tier3,28189.79
5,73891,1.3,1,petrol,automatic,no,tier2,19734.53
5,64330,0.9,0,diesel,automatic,yes,tier1,15734.04
5,72722,2.6,0,petrol,manual,yes,tier1,17684.85
2,41300,1.9,0,diesel,automatic,no,tier3,26812.64
3,25634,2.9,0,petrol,manual,no,tier3,25134.88
13,161109,1.1,2,diesel,automatic,no,tier2,5388.28
0,8659,1.7,2,hybrid,automatic,no,tier1,32890.44
9,116559,1.8,1,petrol,manual,no,tier1,10704.28
3,42687,2.2,3,petrol,manual,no,tier2,24277.67
2,22511,1.5,0,petrol,manual,yes,tier1,22706.2
8,93454,1.5,2,diesel,automatic,no,tier3,12115.33
7,85608,1.2,0,petrol,manual,no,tier3,13300.55
10,110742,2.6,0,diesel,manual,no,tier2,12458.52
7,88852,2.5,2,petrol,automatic,yes,tier2,13559.1
7,97367,1.8,1,petrol,manual,no,tier2,15807.94
8,96616,0.9,3,diesel,manual,no,tier1,14430.13
2,8284,0.9,1,petrol,manual,no,tier2,25385.79
15,192156,2.1,0,petrol,automatic,no,tier2,4706.6
4,56849,2.5,0,petrol,manual,no,tier1,24103.27
9,104750,1.7,1,petrol,manual,no,tier3,9804.39
1,27485,1.9,0,petrol,automatic,no,tier2,29101.22
0,500,1.5,2,diesel,manual,no,tier2,30135.66
1,29368,2.4,1,hybrid,manual,no,tier3,29879.81
11,138883,2.2,2,electric,manual,no,tier1,14839.42
6,66754,2.0,0,petrol,automatic,no,tier1,18904.6
4,67274,2.3,2,diesel,automatic,no,tier1,25057.31
9,125146,1.6,0,petrol,automatic,no,tier1,12751.91
8,104226,1.9,2,petrol,automatic,no,tier2,14407.95
1,1289,2.1,2,petrol,automatic,no,tier2,30584.03
13,168896,2.5,2,diesel,automatic,no,tier1,6887.17
14,178326,1.9,2,petrol,manual,no,tier1,2200.43
12,155694,1.1,0,electric,automatic,no,tier2,10454.73
1,500,2.1,0,petrol,manual,no,tier1,28647.1
6,69655,2.9,1,petrol,manual,yes,tier3,13212.97
11,129256,1.8,0,hybrid,manual,yes,tier2,5715.65
9,114741,2.1,0,petrol,automatic,no,tier1,13942.6
13,151157,1.9,1,petrol,manual,no,tier2,6356.13
10,129108,0.9,0,petrol,manual,no,tier1,8762.71
1,3431,1.2,1,diesel,manual,no,tier2,27108.74
3,42547,1.0,0,diesel,automatic,no,tier3,23717.57
5,51490,1.3,2,diesel,manual,no,tier2,19389.01
13,157921,1.3,0,hybrid,manual,no,tier3,4894.67
6,79593,2.0,1,petrol,manual,no,tier2,16566.06
11,142819,2.0,0,hybrid,automatic,no,tier2,11692.54
3,49423,1.9,1,diesel,automatic,no,tier2,24582.06
2,38725,2.3,4,petrol,automatic,no,tier2,25018.72
12,155731,1.3,2,petrol,manual,no,tier2,7340.86
3,43442,1.8,0,hybrid,manual,no,tier1,25849.18
9,125194,1.2,0,hybrid,manual,no,tier1,15799.21
8,108783,1.6,1,petrol,manual,no,tier1,12845.42
7,91640,2.1,0,petrol,automatic,no,tier3,17968.56
13,151157,1.9,1,petrol,manual,no,tier2,6356.13
5,59543,1.0,0,diesel,manual,no,tier1,21793.41
14,152207,2.0,0,petrol,automatic,no,tier2,5239.98
14,171252,1.1,3,petrol,automatic,no,tier1,1200.0
10,129213,2.4,3,petrol,automatic,no,tier1,12026.97
1,22057,1.6,0,petrol,automatic,no,tier3,25279.29
7,97945,1.9,0,diesel,manual,yes,tier2,11239.41
2,50345,,2,hybrid,automatic,no,tier2,30219.27
12,161536,3.1,1,hybrid,manual,no,tier3,8596.9
6,73316,1.6,0,hybrid,manual,no,tier1,19481.21
13,175370,2.8,1,diesel,manual,no,tier2,4796.55
0,500,2.5,1,diesel,automatic,no,tier1,32408.32
4,60203,2.2,1,diesel,automatic,no,tier3,21872.65
10,136879,1.6,0,petrol,automatic,no,tier2,11337.0
